Time	Iv
0.000241	0.0127529
0.000242	0.0127497
0.000243	0.0127465
0.000244	0.0127433
0.000245	0.0127401
0.000246	0.0127369
0.000247	0.0127338
0.000248	0.0127306
0.000249	0.0127274
0.00025	0.0127242
0.000251	0.012721
0.000252	0.0127178
0.000253	0.0127147
0.000254	0.0127115
0.000255	0.0127083
0.000256	0.0127051
0.000257	0.012702
0.000259	0.0129572
0.00026	0.0132133
0.000261	0.0134704
0.000262	0.0137284
0.000263	0.0139873
0.000264	0.0142471
0.000265	0.0145079
0.000266	0.0147696
0.000267	0.0150321
0.000268	0.0152957
0.000269	0.0155601
0.00027	0.0158254
0.000271	0.0160917
0.000272	0.0163589
0.000273	0.016627
0.000274	0.016896
0.000275	0.0171659
0.000276	0.0174367
0.000277	0.0177085
0.000278	0.0179812
0.000279	0.0182548
0.00028	0.0185293
0.000281	0.0188047
0.000282	0.019081
0.000283	0.0193582
0.000284	0.0196364
0.000285	0.0199154
0.000286	0.0201954
0.000287	0.0204763
0.000288	0.020758
0.000289	0.0210407
0.00029	0.0213243
0.000291	0.0216088
0.000292	0.0218942
0.000293	0.0221806
0.000294	0.0224678
0.000295	0.0227559
0.000296	0.0230449
0.000297	0.0233349
0.000298	0.0236257
0.000299	0.0239175
0.0003	0.0242101
0.000301	0.0245037
0.000302	0.0247981
0.000303	0.0250935
0.000304	0.0253897
0.000305	0.0256869
0.000306	0.0259849
0.000307	0.0262839
0.000308	0.0265837
0.000309	0.0268845
0.000311	0.0268777
0.000312	0.026871
0.000313	0.0268643
0.000314	0.0268576
0.000315	0.0268509
0.000316	0.0268442
0.000317	0.0268375
0.000318	0.0268308
0.000319	0.0268241
0.00032	0.0268173
0.000321	0.0268106
0.000322	0.0268039
0.000323	0.0267972
0.000324	0.0267905
0.000325	0.0267839
0.000326	0.0267772
0.000327	0.0267705
0.000328	0.0267638
0.000329	0.0267571
0.00033	0.0267504
0.000331	0.0267437
0.000332	0.026737
0.000333	0.0267303
0.000334	0.0267237
0.000335	0.026717
0.000336	0.0267103
0.000337	0.0267036
0.000338	0.026697
0.000339	0.0266903
0.00034	0.0266836
0.000341	0.0266769
0.000342	0.0266703
0.000343	0.0266636
0.000344	0.0266569
0.000345	0.0266503
0.000346	0.0266436
0.000347	0.026637
0.000348	0.0266303
0.000349	0.0266237
0.00035	0.026617
0.000351	0.0266103
0.000352	0.0266037
0.000353	0.026597
0.000354	0.0265904
0.000355	0.0265838
0.000356	0.0265771
0.000357	0.0265705
0.000358	0.0265638
0.000359	0.0265572
0.00036	0.0265505
0.000361	0.0265439
0.000363	0.0268986
0.000364	0.0272542
0.000365	0.0276106
0.000366	0.027968
0.000367	0.0283262
0.000368	0.0286853
0.000369	0.0290453
0.00037	0.0294061
